#time_boot,lat,lon,alt,relative_alt,vx,vy,vz,heading
505.187,0.0000000,0.0000000,0.340,0.340,0.02,0.00,0.00,185.09
505.509,0.0000000,0.0000000,0.370,0.370,0.03,0.00,0.00,185.08
505.831,0.0000000,0.0000000,0.380,0.380,0.03,0.00,0.00,185.06
506.152,0.0000000,0.0000000,0.400,0.400,0.03,0.00,0.00,185.05
506.473,0.0000000,0.0000000,0.410,0.410,0.03,0.00,0.00,185.03
506.794,0.0000000,0.0000000,0.420,0.420,0.03,0.00,0.00,185.01
507.115,0.0000000,0.0000000,0.440,0.440,0.04,0.00,0.00,185.00
507.436,0.0000000,0.0000000,0.450,0.450,0.04,0.00,0.00,184.99
507.755,0.0000000,0.0000000,0.450,0.450,0.03,0.00,0.00,184.98
508.076,0.0000000,0.0000000,0.440,0.440,0.03,0.00,0.00,184.96
508.396,0.0000000,0.0000000,0.440,0.440,0.03,0.00,0.00,184.96
508.716,0.0000000,0.0000000,0.440,0.440,0.03,0.00,0.00,184.95
509.035,0.0000000,0.0000000,0.450,0.450,0.03,0.00,0.00,184.93
509.356,0.0000000,0.0000000,0.460,0.460,0.04,0.00,0.00,183.65
509.676,0.0000000,0.0000000,0.470,0.470,0.04,0.00,0.00,184.87
509.996,0.0000000,0.0000000,0.470,0.470,0.02,0.00,0.00,184.72
510.316,0.0000000,0.0000000,0.500,0.500,0.14,0.00,0.00,184.16
510.637,0.0000000,0.0000000,0.570,0.570,0.30,0.00,0.00,179.62
510.957,0.0000000,0.0000000,0.680,0.680,0.35,0.00,0.00,177.92
511.280,0.0000000,0.0000000,0.740,0.740,0.01,0.00,0.00,174.39
511.601,0.0000000,0.0000000,0.710,0.710,-0.19,0.00,0.00,178.65
511.921,0.0000000,0.0000000,0.640,0.640,-0.19,0.00,0.00,180.39
512.243,0.0000000,0.0000000,0.600,0.600,-0.14,0.00,0.00,180.61
512.567,0.0000000,0.0000000,0.570,0.570,-0.05,0.00,0.00,180.30
512.888,0.0000000,0.0000000,0.550,0.550,-0.12,0.00,0.00,176.85
513.210,0.0000000,0.0000000,0.520,0.520,0.03,0.00,0.00,177.55
513.535,0.0000000,0.0000000,0.520,0.520,-0.01,0.00,0.00,178.22
513.855,0.0000000,0.0000000,0.520,0.520,0.02,0.00,0.00,177.76
514.177,0.0000000,0.0000000,0.530,0.530,0.02,0.00,0.00,177.78
514.497,0.0000000,0.0000000,0.540,0.540,0.02,0.00,0.00,177.83
514.818,0.0000000,0.0000000,0.550,0.550,0.02,0.00,0.00,177.85
515.139,0.0000000,0.0000000,0.550,0.550,0.02,0.00,0.00,177.65
515.460,0.0000000,0.0000000,0.550,0.550,0.02,0.00,0.00,177.10
515.782,0.0000000,0.0000000,0.550,0.550,0.02,0.00,0.00,176.58
516.104,0.0000000,0.0000000,0.540,0.540,0.00,0.00,0.00,177.57
516.425,0.0000000,0.0000000,0.540,0.540,0.00,0.00,0.00,177.97
516.747,0.0000000,0.0000000,0.530,0.530,0.00,0.00,0.00,177.05
517.067,0.0000000,0.0000000,0.520,0.520,0.00,0.00,0.00,177.08
517.388,0.0000000,0.0000000,0.500,0.500,-0.01,0.00,0.00,177.11
517.710,0.0000000,0.0000000,0.490,0.490,-0.01,0.00,0.00,177.13
518.032,0.0000000,0.0000000,0.480,0.480,-0.01,0.00,0.00,177.16
518.354,0.0000000,0.0000000,0.470,0.470,-0.01,0.00,0.00,177.18
518.674,0.0000000,0.0000000,0.460,0.460,-0.01,0.00,0.00,177.20
518.996,0.0000000,0.0000000,0.450,0.450,-0.01,0.00,0.00,177.22
519.316,0.0000000,0.0000000,0.450,0.450,-0.01,0.00,0.00,177.24
519.636,0.0000000,0.0000000,0.450,0.450,-0.01,0.00,0.00,177.26
519.957,0.0000000,0.0000000,0.450,0.450,-0.01,0.00,0.00,177.28
520.278,0.0000000,0.0000000,0.450,0.450,-0.01,0.00,0.00,177.30
520.599,0.0000000,0.0000000,0.450,0.450,-0.01,0.00,0.00,177.33
520.921,0.0000000,0.0000000,0.450,0.450,-0.01,0.00,0.00,177.35
521.242,0.0000000,0.0000000,0.460,0.460,0.00,0.00,0.00,177.36
521.564,0.0000000,0.0000000,0.470,0.470,0.00,0.00,0.00,177.38
