#time_boot,lat,lon,alt,relative_alt,vx,vy,vz,heading
1911.376,55.3668148,10.4313547,36.240,-0.700,-0.05,0.00,0.00,350.42
1969.801,55.3668942,10.4312679,36.530,-0.410,-0.04,0.00,0.00,4.06
1970.001,55.3668909,10.4312707,36.530,-0.410,-0.04,0.00,0.00,7.40
1970.401,55.3668880,10.4312735,36.510,-0.430,-0.16,0.00,0.00,5.13
1970.603,55.3668853,10.4312757,36.490,-0.450,-0.06,0.00,0.00,356.57
1971.004,55.3668826,10.4312783,36.510,-0.430,-0.04,0.00,0.00,348.06
1971.406,55.3668805,10.4312792,36.480,-0.460,-0.15,0.00,0.00,343.26
1971.587,55.3668781,10.4312799,36.460,-0.480,-0.02,0.00,0.00,325.47
1971.988,55.3668754,10.4312811,36.480,-0.460,-0.05,0.00,0.00,303.00
1972.389,55.3668732,10.4312804,36.490,-0.450,0.09,0.00,0.00,287.85
1972.610,55.3668715,10.4312799,36.550,-0.390,0.01,0.00,0.00,288.54
1972.991,55.3668702,10.4312782,36.490,-0.450,-0.17,0.00,0.00,286.53
1973.192,55.3668684,10.4312766,36.510,-0.430,0.05,0.00,0.00,277.59
1973.613,55.3668661,10.4312751,36.450,-0.490,-0.18,0.00,0.00,277.56
1973.995,55.3668640,10.4312719,36.470,-0.470,0.09,0.00,0.00,280.62
1974.196,55.3668618,10.4312685,36.410,-0.530,-0.20,0.00,0.00,287.31
1974.598,55.3668596,10.4312661,36.380,-0.560,-0.01,0.00,0.00,287.72
1974.799,55.3668573,10.4312631,36.310,-0.630,-0.11,0.00,0.00,278.75
1975.200,55.3668544,10.4312593,36.280,-0.660,-0.07,0.00,0.00,270.04
1975.602,55.3668510,10.4312555,36.240,-0.700,-0.33,0.00,0.00,267.17
1975.803,55.3668470,10.4312520,36.250,-0.690,-0.12,0.00,0.00,265.58
1976.185,55.3668431,10.4312479,36.270,-0.670,-0.04,0.00,0.00,265.29
1976.406,55.3668394,10.4312439,36.320,-0.620,-0.11,0.00,0.00,261.51
1976.768,55.3668354,10.4312398,36.330,-0.610,-0.01,0.00,0.00,259.45
1977.188,55.3668314,10.4312362,36.360,-0.580,-0.13,0.00,0.00,254.74
1977.388,55.3668276,10.4312325,36.360,-0.580,0.04,0.00,0.00,249.49
1977.789,55.3668237,10.4312282,36.410,-0.530,-0.16,0.00,0.00,246.31
1977.990,55.3668196,10.4312238,36.390,-0.550,0.02,0.00,0.00,246.37
1978.391,55.3668157,10.4312191,36.400,-0.540,-0.16,0.00,0.00,244.77
1978.794,55.3668119,10.4312144,36.400,-0.540,0.09,0.00,0.00,234.62
1978.974,55.3668078,10.4312103,36.380,-0.560,-0.27,0.00,0.00,230.64
1979.395,55.3668036,10.4312060,36.350,-0.590,0.04,0.00,0.00,228.74
1979.778,55.3668000,10.4312011,36.340,-0.600,0.00,0.00,0.00,235.65
1979.979,55.3667968,10.4311954,36.400,-0.540,-0.01,0.00,0.00,234.98
1980.379,55.3667937,10.4311901,36.370,-0.570,-0.05,0.00,0.00,239.71
1980.579,55.3667906,10.4311854,36.390,-0.550,-0.19,0.00,0.00,236.18
1980.981,55.3667877,10.4311807,36.380,-0.560,0.07,0.00,0.00,233.84
1981.382,55.3667851,10.4311757,36.380,-0.560,-0.27,0.00,0.00,235.47
1981.584,55.3667829,10.4311697,36.340,-0.600,0.07,0.00,0.00,241.13
1981.984,55.3667810,10.4311643,36.340,-0.600,-0.03,0.00,0.00,242.92
1982.185,55.3667795,10.4311586,36.540,-0.400,0.08,0.00,0.00,242.94
1982.587,55.3667780,10.4311529,36.750,-0.190,-0.07,0.00,0.00,249.25
1982.987,55.3667767,10.4311474,36.840,-0.100,-0.12,0.00,0.00,251.84
1983.188,55.3667759,10.4311419,36.920,-0.020,0.17,0.00,0.00,254.84
1983.589,55.3667754,10.4311362,37.030,0.090,-0.10,0.00,0.00,261.05
1983.769,55.3667745,10.4311305,37.010,0.070,-0.04,0.00,0.00,264.08
1984.189,55.3667737,10.4311248,37.020,0.080,-0.21,0.00,0.00,264.07
1984.592,55.3667731,10.4311191,37.030,0.090,0.18,0.00,0.00,261.75
1984.792,55.3667726,10.4311134,37.030,0.090,-0.20,0.00,0.00,267.24
1985.192,55.3667719,10.4311074,36.990,0.050,0.13,0.00,0.00,265.62
1985.393,55.3667713,10.4311015,36.970,0.030,0.08,0.00,0.00,265.71
1985.796,55.3667708,10.4310957,36.940,0.000,0.02,0.00,0.00,263.79
1986.196,55.3667703,10.4310898,36.890,-0.050,0.00,0.00,0.00,265.51
1986.377,55.3667695,10.4310840,36.800,-0.140,-0.11,0.00,0.00,259.92
1986.798,55.3667691,10.4310786,36.690,-0.250,0.16,0.00,0.00,254.71
1986.979,55.3667686,10.4310729,36.670,-0.270,-0.14,0.00,0.00,255.42
1987.381,55.3667679,10.4310662,36.510,-0.430,0.00,0.00,0.00,256.79
1987.783,55.3667675,10.4310597,36.440,-0.500,-0.11,0.00,0.00,259.03
1987.983,55.3667675,10.4310530,36.510,-0.430,0.23,0.00,0.00,255.75
1988.384,55.3667673,10.4310464,36.510,-0.430,-0.27,0.00,0.00,261.81
1988.586,55.3667669,10.4310398,36.500,-0.440,0.04,0.00,0.00,262.27
1988.987,55.3667663,10.4310333,36.520,-0.420,0.03,0.00,0.00,260.36
1989.387,55.3667663,10.4310266,36.570,-0.370,0.01,0.00,0.00,255.85
