#time_boot,lat,lon,alt,relative_alt,vx,vy,vz,heading
1581.973,55.3668475,10.4313171,34.200,-2.740,-0.13,0.00,0.00,253.42
1582.374,55.3668480,10.4313166,34.090,-2.850,-0.11,0.00,0.00,254.36
1582.754,55.3668484,10.4313156,34.000,-2.940,-0.12,0.00,0.00,254.75
1582.974,55.3668487,10.4313146,33.960,-2.980,-0.10,0.00,0.00,255.09
1583.376,55.3668491,10.4313131,33.890,-3.050,-0.02,0.00,0.00,259.63
1583.758,55.3668495,10.4313123,33.870,-3.070,-0.05,0.00,0.00,263.62
1583.959,55.3668501,10.4313115,33.840,-3.100,-0.10,0.00,0.00,267.29
1584.360,55.3668507,10.4313107,33.800,-3.140,-0.08,0.00,0.00,268.98
1584.560,55.3668512,10.4313095,33.810,-3.130,0.02,0.00,0.00,269.03
1584.962,55.3668511,10.4313064,33.860,-3.080,0.09,0.00,0.00,251.76
1585.361,55.3668518,10.4313036,33.860,-3.080,-0.22,0.00,0.00,261.54
1585.582,55.3668526,10.4313010,33.780,-3.160,-0.02,0.00,0.00,268.27
1585.983,55.3668532,10.4312980,33.770,-3.170,-0.12,0.00,0.00,267.14
1586.163,55.3668539,10.4312946,33.640,-3.300,-0.24,0.00,0.00,261.57
1586.584,55.3668550,10.4312915,33.520,-3.420,-0.12,0.00,0.00,255.07
1586.965,55.3668563,10.4312898,33.490,-3.450,-0.03,0.00,0.00,257.34
1587.166,55.3668573,10.4312887,33.440,-3.500,-0.01,0.00,0.00,266.97
1587.567,55.3668581,10.4312870,33.420,-3.520,0.06,0.00,0.00,278.47
1587.768,55.3668585,10.4312848,33.420,-3.520,-0.06,0.00,0.00,282.32
1588.168,55.3668592,10.4312834,33.370,-3.570,-0.15,0.00,0.00,274.76
1588.369,55.3668603,10.4312822,33.350,-3.590,-0.05,0.00,0.00,270.02
1588.770,55.3668612,10.4312818,33.320,-3.620,-0.08,0.00,0.00,268.16
1589.171,55.3668612,10.4312815,33.300,-3.640,0.03,0.00,0.00,270.64
1589.371,55.3668610,10.4312811,33.310,-3.630,-0.05,0.00,0.00,272.58
1589.772,55.3668605,10.4312806,33.290,-3.650,-0.06,0.00,0.00,270.25
1590.175,55.3668602,10.4312797,33.300,-3.640,0.00,0.00,0.00,269.98
1590.375,55.3668603,10.4312784,33.320,-3.620,0.05,0.00,0.00,276.01
1590.759,55.3668607,10.4312767,33.350,-3.590,0.07,0.00,0.00,282.48
1590.960,55.3668612,10.4312744,33.390,-3.550,0.02,0.00,0.00,282.22
1591.362,55.3668620,10.4312713,33.400,-3.540,-0.10,0.00,0.00,272.54
1591.764,55.3668632,10.4312677,33.420,-3.520,0.06,0.00,0.00,270.17
1591.965,55.3668642,10.4312655,33.470,-3.470,0.07,0.00,0.00,269.39
1592.368,55.3668655,10.4312640,33.470,-3.470,-0.10,0.00,0.00,271.88
1592.569,55.3668674,10.4312615,33.480,-3.460,0.24,0.00,0.00,272.42
1592.972,55.3668691,10.4312593,33.560,-3.380,-0.03,0.00,0.00,271.43
1593.353,55.3668712,10.4312588,33.520,-3.420,-0.11,0.00,0.00,265.24
1593.573,55.3668737,10.4312592,33.520,-3.420,0.02,0.00,0.00,266.39
1593.954,55.3668762,10.4312596,33.520,-3.420,-0.25,0.00,0.00,303.49
1594.354,55.3668787,10.4312585,33.450,-3.490,-0.06,0.00,0.00,325.77
1594.554,55.3668817,10.4312577,33.470,-3.470,-0.18,0.00,0.00,347.50
